property_id,specification_anchor,claim,lean_theorem,implementation_target,implementation_tool,result,evidence,scope,implementation_status,evidence_kind,human_review_status
APYX-deposit-mint-apxusd,SPEC.md REQ-deposit-mint-apxusd,The protocol MUST mint apxUSD to a user when the user deposits USDC.,depositUSDCStep_effect; req_deposit_emits_event,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,depositUSDCStep_effect; req_deposit_emits_event (Apyx.lean) — Abstract effect and reachable witness only; deployed deposit refinement is not run.,witness; reachable,not-run,attack-witness,pending
APYX-mint-price,SPEC.md REQ-mint-price,The protocol MUST price newly minted apxUSD at $1 per unit.,req_mint_price_arbitrage_pathway,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_mint_price_arbitrage_pathway (Apyx.lean) — Abstract arbitrage path only; full issuance interface/refinement is not run.,model-local,not-run,model-partial,pending
APYX-redemption-value,SPEC.md REQ-redemption-value,The protocol MUST allow redemption of apxUSD at the current Redemption Value.,redeemApxUSDStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,redeemApxUSDStep_effect (Apyx.lean) — Pricing at redemptionValue proved; general 'allow' existence theorem gone.,model-local,not-run,model-partial,pending
APYX-offchain-allocation,SPEC.md REQ-offchain-allocation,The Offchain Treasury MUST allocate incoming capital to acquire a basket of preferred assets and short‑term treasury bonds.,none,off-chain process,manual review,out-of-scope (not formalizable),README §6.1; requirements.json formalizable=false,out-of-scope,not-recorded,scope-decision,pending
APYX-custody-attestation,SPEC.md REQ-custody-attestation,The Offchain Treasury MUST provide regular third‑party accounting attestations and transparent reporting on custody and collateral composition.,none,off-chain process,manual review,out-of-scope (not formalizable),README §6.1; requirements.json formalizable=false,out-of-scope,not-recorded,scope-decision,pending
APYX-no-rehypothecation,SPEC.md REQ-no-rehypothecation,"The protocol MUST NOT rehypothecate, lend, or otherwise utilize deposited apxUSD for any purpose.",req_no_rehypothecation,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_no_rehypothecation (Apyx.lean) — Model-local custody frame only; external calls and unmodeled custody paths are not covered.,model-local,not-run,model-partial,pending
APYX-yield-distribution-period,SPEC.md REQ-yield-distribution-period,The Onchain Vault MUST distribute received yield to apyUSD holders over a 20‑day period.,req_yield_distribution_period,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_yield_distribution_period (Apyx.lean) — Vesting shape and reserve frame are proved; holder-level distribution and implementation refinement remain outside the model.,model-local,not-run,model-partial,pending
APYX-lock-apxusd,SPEC.md REQ-lock-apxusd,The protocol MUST allow a user to lock apxUSD in the vault and receive apyUSD.,req_lock_apxusd,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_lock_apxusd (Apyx.lean) — Abstract transition effect only; deployed vault refinement is not run.,model-local,not-run,model-partial,pending
APYX-apyusd-value-increase,SPEC.md REQ-apyusd-value-increase,The redeemable value of apyUSD MUST increase over time as yield is distributed to the vault.,req_exchange_rate_non_decreasing,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"req_exchange_rate_non_decreasing (Apyx.lean) — Non-decreasing on a fixed state, not a trace. | Fixed-state time monotonicity only; not a trace theorem across operations",trace,not-run,model-partial,pending
APYX-price-may-include-spreads,SPEC.md REQ-price-may-include-spreads,The protocol MAY reflect spreads and offchain execution expenses in the price during minting and redemption.,none,Apyx deployed contracts,none (hand-off: README §6.4),declined (documented),"README §6.3: MAY clause, model prices mints hard-coded 1:1.",declined,not-recorded,scope-decision,pending
APYX-rebalance-overcollateralization,SPEC.md REQ-rebalance-overcollateralization,The system SHALL rebalance the collateral basket so that apxUSD remains over‑collateralized.,none,Apyx deployed contracts,none (hand-off: README §6.4),declined (documented),"README §6.3: model tracks aggregate collateral only, no basket composition.",declined,not-recorded,scope-decision,pending
